Fly_Number,DurNBodyShove,DurNFeed,DurNHeadbutt,DurNLegShove,DurNLunge,DurNWingThreat,DurNRetreat,DurNMoving,DurNFencing,DurTTFeed,DurTTMoving,DurTTFencing,DurXFeed,DurXMoving,DurXFencing,Species,file_name,Letter,Sex,Temp,temp_room,Mass,mass_dif,fencing_presence,total_ag_acts
C24_43,0,1,0,2,0,0,0,10,1,16.32,88.949,833.695,16.32,8.8949,833.695,PAL,C24,C,M,H,30,0.293,0.10499999999999998,1,3
C24_45,0,0,0,1,0,0,0,5,2,0,36.376,503.573,0,7.2752,251.7865,PAL,C24,C,M,H,30,0.324,0.14800000000000002,1,3
C24_48,0,2,0,1,1,0,0,20,4,22.759,152.845,868.602,11.3795,7.64225,217.1505,PAL,C24,C,M,H,30,0.357,0.183,1,6
C31_49,0,0,0,0,0,0,0,21,0,0,304.527,0,0,14.501290000000001,0,PAL,C31,C,F,M,25,0.46,0.46,0,0
C31_53,0,0,0,1,0,0,1,12,4,0,165.808,834.301,0,13.81733,208.57525,PAL,C31,C,F,M,25,0.586,0.33499999999999996,1,5
C32_57,0,0,0,1,0,0,1,12,3,0,122.921,599.088,0,10.24342,199.696,PAL,C32,C,M,M,25,0.314,0.14,1,4
C32_58,0,0,0,2,0,0,0,14,2,0,137.748,79.571,0,9.839139999999999,39.7855,PAL,C32,C,M,M,25,0.34,0.18200000000000002,1,4
C33_65,0,0,0,0,0,0,0,7,0,0,80.797,0,0,11.54243,0,PAL,C33,C,F,M,25,0.481,0.196,0,0
C33_66,0,0,0,0,0,0,2,19,2,0,281.496,864.345,0,14.81558,432.1725,PAL,C33,C,F,M,25,0.553,0.553,1,2
C34_67,0,0,0,0,0,0,0,19,1,0,167.199,192.784,0,8.79995,192.784,PAL,C34,C,M,M,25,0.299,0.11199999999999999,1,1
C34_68,0,4,0,0,0,0,0,30,2,63.344,320.719,207.68,15.836,10.690629999999999,103.84,PAL,C34,C,M,M,25,0.333,0.164,1,2
C34_69,0,2,0,3,0,0,0,21,5,716.454,892.562,717.449,358.227,42.50295,143.4898,PAL,C34,C,M,M,25,0.329,0.168,1,8
C34_71,0,0,0,1,0,0,0,13,1,0,392.347,227.21,0,30.18054,227.21,PAL,C34,C,M,M,25,0.323,0.18000000000000002,1,2
