Fly_Number,Letter,Temp,Sex,temp_room,bouts,mass_dif,TTBouts,resolved,loses,draws,wins,Species,Mass
A13_14,A,M,F,24.6,2,0.28800000000000003,387.357,1,1,1,0,PAN,0.239
A13_16,A,M,F,24.6,3,0.22099999999999997,895.876,0,0,3,0,PAN,0.203
A13_18,A,M,F,24.6,15,0.22799999999999998,870.353,1,0,14,1,PAN,0.272
A21_28,A,L,F,20.9,4,0.453,415.879,2,1,2,1,PAN,0
A21_29,A,L,F,20.9,3,0.30300000000000005,725.934,1,1,2,0,PAN,0.205
A22_33,A,L,M,21.6,10,0.3,753.473,1,1,10,0,PAN,0
A22_34,A,L,M,21.6,5,-0.155,725.708,1,0,4,1,PAN,0.155
A22_35,A,L,M,21.6,3,0.142,796.028,1,1,2,0,PAN,0.166
A22_36,A,L,M,21.6,22,0.152,865.555,3,3,19,0,PAN,0.159
A31_42,A,H,F,30.4,4,0.22300000000000003,488.97,1,1,3,0,PAN,0.24
A32_47,A,H,M,30.3,20,0.16700000000000004,891.129,11,11,9,0,PAN,0.172
B11_3,B,H,M,30.2,5,0.13799999999999998,829.565,2,0,3,2,PAN,0.166
B11_4,B,H,M,30.2,1,0.11499999999999999,682.909,0,0,1,0,PAN,0.178
B12_7,B,H,F,30.2,5,0.26999999999999996,850.333,3,1,2,2,PAN,0.296
B21_14,B,L,M,20.9,4,0.14600000000000002,828.036,3,3,1,0,PAN,0.186
B22_19,B,L,F,21.2,10,0.34199999999999997,597.85,3,2,7,1,PAN,0.257
B22_20,B,L,F,21.2,0,0.33399999999999996,0,0,0,0,0,PAN,0.246
C11_2,C,L,F,20.9,10,0.21700000000000003,880.61,1,1,9,0,PAN,0.242
C11_3,C,L,F,20.9,7,0.25200000000000006,357.843,1,0,6,1,PAN,0.293
C12_10,C,L,M,20.9,15,0.124,900.003,9,8,7,1,PAN,0.175
C12_11,C,L,M,20.9,6,0.173,898.347,2,2,4,0,PAN,0.174
C12_7,C,L,M,20.9,2,0.10000000000000003,727.71,1,1,1,0,PAN,0.179
C13_14,C,L,F,20.9,6,0.537,810.293,4,3,2,1,PAN,0
