Fly_Number,Letter,Temp,Sex,temp_room,bouts,PAN_Mass_mg,PAL_Mass_mg,mass_dif,DurTTFencingPAN,DurTTFencingPAL,resolved,losesPAL,losesPAN,drawsPAL,drawsPAN,winsPAL,winsPAN
D21_29,D,H,M,30.6,1,0,0.276,0.276,421.657,421.657,1,0,1,0,0,1,0
D23_37,D,H,M,30.3,2,0,0.29,0.29,690.416,690.416,0,0,0,2,2,0,0
D24_45,D,H,F,30.3,0,0.223,0.456,0.233,0,0,0,0,0,0,0,0,0
D31_50,D,L,M,20.6,1,0.214,0.32,0.10600000000000001,81.603,82.353,0,0,0,1,1,0,0
D31_51,D,L,M,20.6,0,0.174,0.27,0.09600000000000003,0,0,0,0,0,0,0,0,0
D33_63,D,L,M,21.1,0,0.158,0.273,0.11500000000000002,0,0,0,0,0,0,0,0,0
D34_67,D,L,F,21.3,6,0.23,0.446,0.216,900.002,900.002,1,0,1,5,5,1,0
D34_68,D,L,F,21.3,1,0.204,0.449,0.24500000000000002,0,6.005,0,0,0,1,0,0,0
D34_70,D,L,F,21.3,14,0.203,0.455,0.252,897.343,897.343,1,0,1,13,13,1,0
A11_4,A,M,F,24.6,4,0.242,0.462,0.22000000000000003,457.442,457.944,3,0,3,1,1,3,0
A12_10,A,M,M,24.6,7,0.165,0.311,0.146,734.46,734.46,2,1,1,5,5,1,1
A12_7,A,M,M,24.6,1,0.174,0.327,0.15300000000000002,357.931,357.931,1,1,0,0,0,0,1
A12_8,A,M,M,24.6,4,0.162,0.324,0.162,646.88,646.88,2,0,2,2,2,2,0
A12_9,A,M,M,24.6,5,0.176,0.303,0.127,706.879,706.879,3,2,1,2,2,1,2
A13_14,A,M,F,24.6,2,0.239,0.527,0.28800000000000003,387.357,387.357,1,0,1,1,1,1,0
A13_16,A,M,F,24.6,3,0.203,0.424,0.22099999999999997,895.876,895.876,0,0,0,3,3,0,0
A13_18,A,M,F,24.6,15,0.272,0.5,0.22799999999999998,870.353,870.353,1,1,0,14,14,0,1
A21_28,A,L,F,20.9,4,0,0.453,0.453,415.879,415.879,2,1,1,2,2,1,1
A21_29,A,L,F,20.9,3,0.205,0.508,0.30300000000000005,725.934,725.934,1,0,1,2,2,1,0
A22_33,A,L,M,21.6,10,0,0.3,0.3,753.473,753.473,1,0,1,9,10,1,0
A22_34,A,L,M,21.6,5,0.155,0,-0.155,725.708,725.708,1,1,0,4,4,0,1
A22_35,A,L,M,21.6,3,0.166,0.308,0.142,796.028,796.028,1,0,1,2,2,1,0
A22_36,A,L,M,21.6,22,0.159,0.311,0.152,865.555,865.094,3,0,3,19,19,3,0
A31_42,A,H,F,30.4,4,0.24,0.463,0.22300000000000003,488.97,488.97,1,0,1,3,3,1,0
A32_47,A,H,M,30.3,20,0.172,0.339,0.16700000000000004,891.129,891.129,11,0,11,9,9,11,0
B11_3,B,H,M,30.2,5,0.166,0.304,0.13799999999999998,829.565,829.565,2,2,0,3,3,0,2
B11_4,B,H,M,30.2,1,0.178,0.293,0.11499999999999999,682.909,682.413,0,0,0,1,1,0,0
B12_7,B,H,F,30.2,5,0.296,0.566,0.26999999999999996,850.333,850.333,3,2,1,2,2,1,2
B21_14,B,L,M,20.9,4,0.186,0.332,0.14600000000000002,828.036,828.036,3,0,3,1,1,3,0
B22_19,B,L,F,21.2,10,0.257,0.599,0.34199999999999997,597.85,597.85,3,1,2,7,7,2,1
B22_20,B,L,F,21.2,0,0.246,0.58,0.33399999999999996,0,0,0,0,0,0,0,0,0
C11_2,C,L,F,20.9,10,0.242,0.459,0.21700000000000003,880.61,880.61,1,0,1,9,9,1,0
C11_3,C,L,F,20.9,7,0.293,0.545,0.25200000000000006,357.843,357.843,1,1,0,6,6,0,1
C12_10,C,L,M,20.9,15,0.175,0.299,0.124,900.003,900.003,9,1,8,6,7,8,1
C12_11,C,L,M,20.9,6,0.174,0.347,0.173,898.347,898.347,2,0,2,4,4,2,0
C12_7,C,L,M,20.9,2,0.179,0.279,0.10000000000000003,727.71,727.206,1,0,1,1,1,1,0
C13_14,C,L,F,20.9,6,0,0.537,0.537,810.293,810.293,4,1,3,2,2,3,1
C13_16,C,L,F,20.9,12,0.286,0.475,0.189,532.499,532.499,2,0,2,10,10,2,0
C13_17,C,L,F,20.9,11,0.26,0.516,0.256,848.684,849.102,4,2,2,7,7,2,2
C13_18,C,L,F,20.9,0,0.229,0.474,0.24499999999999997,0,0,0,0,0,0,0,0,0
C14_19,C,L,M,20.9,5,0.152,0.307,0.155,779.263,779.263,2,0,2,3,4,2,0
C14_22,C,L,M,20.9,9,0.174,0.28,0.10600000000000004,832.564,832.564,4,0,4,5,5,4,0
C14_24,C,L,M,20.9,4,0,0.344,0.344,600.351,600.351,4,0,4,0,0,4,0
C21_25,C,H,F,30,1,0.202,0.523,0.321,454.422,454.422,0,0,0,1,1,0,0
C21_26,C,H,F,30,0,0.265,0.487,0.22199999999999998,0,0,0,0,0,0,0,0,0
C21_30,C,H,F,30,8,0.259,0.585,0.32599999999999996,660.848,660.848,1,0,1,7,7,1,0
C22_36,C,H,M,30,0,0.171,0.317,0.146,0,0,0,0,0,0,0,0,0
C23_38,C,H,F,30,3,0.251,0.547,0.29600000000000004,809.029,809.029,1,0,1,2,2,1,0
C23_42,C,H,F,30,0,0.281,0.568,0.2869999999999999,0,0,0,0,0,0,0,0,0
C24_44,C,H,M,30,3,0.176,0.284,0.10799999999999998,774.984,774.984,0,0,0,3,3,0,0
C24_46,C,H,M,30,4,0.177,0.359,0.182,752.983,405.657,0,0,0,4,3,0,0
C31_50,C,M,F,25,10,0,0.555,0.555,881.615,895.129,3,0,3,7,6,3,0
C31_52,C,M,F,25,6,0.271,0.571,0.29999999999999993,583.568,583.816,2,1,1,4,4,1,1
C32_55,C,M,M,25,7,0.165,0.293,0.12799999999999997,871.86,872.106,2,1,1,5,5,1,1
C32_60,C,M,M,25,4,0.172,0.381,0.20900000000000002,879.867,879.867,0,0,0,4,4,0,0
C33_63,C,M,F,25,10,0.259,0.582,0.32299999999999995,888.121,887.623,2,0,2,8,8,2,0
C34_70,C,M,M,25,0,0.189,0.331,0.14200000000000002,0,0,0,0,0,0,0,0,0
D12_10,D,M,F,25.3,11,0.225,0.492,0.267,854.091,854.091,1,0,1,10,10,1,0
D12_7,D,M,F,25.3,9,0.257,0.405,0.14800000000000002,857.846,857.844,3,0,3,6,6,3,0
D12_8,D,M,F,25.3,14,0.239,0.291,0.05199999999999999,601.332,601.081,2,2,0,12,12,0,2
